,剧名,时间进度,进度,类型,封面图片
88,韫色过浓 张予曦邀你来看《韫色过浓》云见面会,00:15,100%,电视剧,https:\/\/1img.hitv.com\/preview\/sp_images\/2020\/5\/3\/dianshiju\/338408\/8019783\/20200503175724233.jpg
89,韫色过浓 韫北夫妇“被迫”同居,01:37,100%,电视剧,https:\/\/0img.hitv.com\/preview\/sp_images\/2020\/5\/1\/dianshiju\/338408\/8004678\/20200501221720565.jpg
90,韫色过浓 韫北夫妇“考拉抱”,01:34,100%,电视剧,https:\/\/1img.hitv.com\/preview\/sp_images\/2020\/5\/1\/dianshiju\/338408\/8004677\/20200501221502813.jpg
91,韫色过浓 有个医生男朋友是什么体验,00:28,1%,电视剧,https:\/\/2img.hitv.com\/preview\/sp_images\/2020\/5\/1\/dianshiju\/338408\/8004955\/20200501225732238.jpg
92,韫色过浓 怎么区分予曦和禹兮,00:38,100%,电视剧,https:\/\/0img.hitv.com\/preview\/sp_images\/2020\/4\/28\/dianshiju\/338408\/7984795\/20200428222414847.jpg
93,韫色过浓 周时韫徐嘉伟正面互怼,01:47,84%,电视剧,https:\/\/2img.hitv.com\/preview\/sp_images\/2020\/5\/1\/dianshiju\/338408\/8004676\/20200501221314355.jpg
94,韫色过浓 情敌上线？矜北录节目受伤,01:50,88%,电视剧,https:\/\/2img.hitv.com\/preview\/sp_images\/2020\/5\/1\/dianshiju\/338408\/8004675\/20200501221003092.jpg
95,秋蝉 任嘉伦括弧笑“眼神杀”绝了,04:40,58%,电视剧,https:\/\/2img.hitv.com\/preview\/sp_images\/2020\/4\/30\/dianshiju\/316458\/7997871\/20200430173001365.jpg
96,海棠经雨胭脂透 第52集 月轩海棠携手相伴,46:21,85%,电视剧,https:\/\/3img.hitv.com\/preview\/internettv\/sp_images\/ott\/2018\/dianshiju\/324284\/20180523161021732-new.jpg
97,潜伏在黎明之前 第1集 潜伏在黎明之前 第1集,45:08,56%,电视剧,https:\/\/0img.hitv.com\/preview\/internettv\/sp_images\/ott\/2017\/dianshiju\/311444\/20170204142219341-new.jpg
98,我的波塞冬 第1集 安菲遇险 叶海出手相救,44:07,6%,电视剧,https:\/\/2img.hitv.com\/preview\/internettv\/sp_images\/ott\/2019\/3\/17\/dianshiju\/322761\/20190317162650298-new.jpg
99,一夜暴福 第1集 诺特的乐队面临解散,24:36,10%,电视剧,https:\/\/0img.hitv.com\/preview\/internettv\/sp_images\/ott\/2020\/4\/22\/dianshiju\/338327\/20200422192009787-new.jpg
100,《韫色过浓》追爱篇：张予曦秒变情话输出机 在线教学恋爱法则,00:23,100%,,https:\/\/2img.hitv.com\/preview\/sp_images\/2020\/4\/29\/dianshiju\/338408\/7991498\/20200429181058932.jpg
101,《韫色过浓》命中注定篇：张予曦丁禹兮定娃娃亲！甜蜜爆表等待专属浪漫,00:40,1%,,https:\/\/1img.hitv.com\/preview\/sp_images\/2020\/4\/30\/dianshiju\/338408\/7997873\/20200430172630982.jpg
102,天醒之路 第1集 路平擅自离队惹怒西凡,46:06,18%,电视剧,https:\/\/0img.hitv.com\/preview\/internettv\/sp_images\/ott\/2020\/4\/9\/dianshiju\/330717\/20200409145746020-new.jpg
103,千金归来 第50集 沈氏千金归来,45:16,96%,电视剧,https:\/\/0img.hitv.com\/preview\/internettv\/sp_images\/ott\/2016\/dianshiju\/42267\/20160527191551563-new.jpg
104,向往的生活 第四季 黄磊终拥有“史上最大厨房” ,00:27,1%,综艺,https:\/\/0img.hitv.com\/preview\/sp_images\/2020\/5\/1\/zongyi\/337284\/8003237\/20200501175155500.jpg
